date,close
2012-12-07,87.75
2012-12-10,88.21
2012-12-11,89.07
2012-12-12,87.72
2012-12-13,87.34
2012-12-14,88.32
2012-12-17,87.19
2012-12-18,88.31
2012-12-19,88.83
2012-12-20,88.55
2012-12-21,87.5
2012-12-24,87.54
2012-12-26,87.44
2012-12-27,87.96
2012-12-28,86.81
2012-12-31,87.41
2013-01-02,89.04
2013-01-03,86.85
2013-01-04,88.41
2013-01-07,87.6
2013-01-08,86.29
2013-01-09,84.29
2013-01-10,86.61
2013-01-11,87.6
2013-01-14,87.3
2013-01-15,88.69
2013-01-16,88.99
2013-01-17,88.91
2013-01-18,89.72
2013-01-22,90.84
2013-01-23,90.12
2013-01-24,90.26
2013-01-25,91.71
2013-01-28,91.81
2013-01-29,93.24
2013-01-30,94.14
2013-01-31,88.6
2013-02-01,92.28
2013-02-04,87.67
2013-02-05,88.08
2013-02-06,87.37
2013-02-07,86.4
2013-02-08,85.74
2013-02-11,86.27
2013-02-12,87.52
2013-02-13,88.26
2013-02-14,92.76
2013-02-15,92.73
2013-02-19,93.09
2013-02-20,92.87
2013-02-21,92.06
2013-02-22,93.38
2013-02-25,91.92
2013-02-26,91.8
2013-02-27,93.69
2013-02-28,93.99
2013-03-01,94.54
2013-03-04,94.53
2013-03-05,94.7
2013-03-06,94.12
2013-03-07,95.58
2013-03-08,97.14
2013-03-11,96.98
2013-03-12,95.83
2013-03-13,95.67
2013-03-14,96.26
2013-03-15,95.43
2013-03-18,95.62
2013-03-19,95.28
2013-03-20,96.13
2013-03-21,95.67
2013-03-22,98.1
2013-03-25,97.39
2013-03-26,98.69
2013-03-27,97.45
2013-03-28,99.55
2013-04-01,99.32
2013-04-02,100.14
2013-04-03,99.08
2013-04-04,99.55
2013-04-05,97.6
2013-04-08,99.23
2013-04-09,98.73
2013-04-10,101.84
2013-04-11,100.88
2013-04-12,100.38
2013-04-15,98.23
2013-04-16,99.34
2013-04-17,96.74
2013-04-18,97.57
2013-04-19,99.22
2013-04-22,99.02
2013-04-23,97.43
2013-04-24,96.28
2013-04-25,96.21
2013-04-26,94.13
2013-04-29,95.48
2013-04-30,95.62
2013-05-01,94.89
2013-05-02,95.25
2013-05-03,96.2
2013-05-06,95.8
2013-05-07,96.32
2013-05-08,97.77
2013-05-09,96.26
2013-05-10,96.75
2013-05-13,97.54
2013-05-14,98.49
2013-05-15,97.76
2013-05-16,96.72
2013-05-17,96.37
2013-05-20,95.48
2013-05-21,95.6
2013-05-22,95.27
2013-05-23,95.6
2013-05-24,95.61
2013-05-28,95.79
2013-05-29,93.77
2013-05-30,94.2
2013-05-31,91.92
2013-06-03,92.31
2013-06-04,92.33
2013-06-05,90.53
2013-06-06,92.7
2013-06-07,94.41
2013-06-10,93.72
2013-06-11,92.76
2013-06-12,92.68
2013-06-13,93.27
2013-06-14,93.73
2013-06-17,94.67
2013-06-18,93.64
2013-06-19,91.76
2013-06-20,87.48
2013-06-21,87.24
2013-06-24,86.64
2013-06-25,86.92
2013-06-26,88.67
2013-06-27,90.04
2013-06-28,90.26
2013-07-01,90.77
2013-07-02,89.39
2013-07-03,87.46
2013-07-05,88.0
2013-07-08,89.66
2013-07-09,90.02
2013-07-10,90.95
2013-07-11,92.93
2013-07-12,91.66
2013-07-15,91.93
2013-07-16,91.81
2013-07-17,90.79
2013-07-18,89.65
2013-07-19,89.43
2013-07-22,89.22
2013-07-23,88.56
2013-07-24,89.33
2013-07-25,88.92
2013-07-26,89.33
2013-07-29,88.79
2013-07-30,89.97
2013-07-31,95.71
2013-08-01,97.94
2013-08-02,98.15
2013-08-05,98.26
2013-08-06,98.42
2013-08-07,99.02
2013-08-08,101.01
2013-08-09,99.32
2013-08-12,100.03
2013-08-13,100.22
2013-08-14,98.95
2013-08-15,98.08
2013-08-16,97.63
2013-08-19,97.01
2013-08-20,96.5
2013-08-21,96.24
2013-08-22,96.49
2013-08-23,97.36
2013-08-26,96.85
2013-08-27,94.84
2013-08-28,94.0
2013-08-29,93.95
2013-08-30,93.35
2013-09-03,94.84
2013-09-04,95.52
2013-09-05,94.73
2013-09-06,95.77
2013-09-09,95.66
2013-09-10,96.4
2013-09-11,97.65
2013-09-12,96.8
2013-09-13,98.34
2013-09-16,99.68
2013-09-17,99.66
2013-09-18,102.43
2013-09-19,102.57
2013-09-20,100.56
2013-09-23,99.55
2013-09-24,99.11
2013-09-25,99.46
2013-09-26,100.21
2013-09-27,99.61
2013-09-30,99.2
2013-10-01,98.69
2013-10-02,98.38
2013-10-03,98.2
2013-10-04,98.96
2013-10-07,97.72
2013-10-08,96.76
2013-10-09,95.84
2013-10-10,97.44
2013-10-11,98.41
2013-10-14,98.77
2013-10-15,98.07
2013-10-16,98.86
2013-10-17,101.0
2013-10-18,102.7
2013-10-21,102.63
2013-10-22,103.69
2013-10-23,103.06
2013-10-24,103.18
2013-10-25,104.71
2013-10-28,104.28
2013-10-29,104.34
2013-10-30,103.24
2013-10-31,103.73
2013-11-01,102.58
2013-11-04,102.37
2013-11-05,102.25
2013-11-06,103.8
2013-11-07,101.53
2013-11-08,102.8
2013-11-11,104.35
2013-11-12,103.85
2013-11-13,103.76
2013-11-14,104.71
2013-11-15,104.62
2013-11-18,104.83
2013-11-19,104.49
2013-11-20,103.54
2013-11-21,103.55
2013-11-22,103.36
2013-11-25,102.4
2013-11-26,102.72
2013-11-27,102.72
2013-11-29,102.11
2013-12-02,102.08
2013-12-03,101.74
2013-12-04,101.5
2013-12-05,100.72
2013-12-06,102.63
2013-12-09,102.49
2013-12-10,102.07
2013-12-11,101.41
2013-12-12,100.43
2013-12-13,100.21
2013-12-16,102.1
2013-12-17,101.49
2013-12-18,103.39
2013-12-19,103.18
2013-12-20,103.37
2013-12-23,103.66
2013-12-24,103.75
2013-12-26,105.06
2013-12-27,106.04
2013-12-30,105.36
2013-12-31,106.46
2014-01-02,103.55
2014-01-03,103.74
2014-01-06,102.54
2014-01-07,104.48
2014-01-08,104.93
2014-01-09,104.93
2014-01-10,105.2
2014-01-13,102.53
2014-01-14,102.93
2014-01-15,103.11
2014-01-16,103.45
2014-01-17,101.47
2014-01-21,103.75
2014-01-22,103.56
2014-01-23,102.42
2014-01-24,98.05
2014-01-27,98.23
2014-01-28,98.58
2014-01-29,96.72
2014-01-30,96.59
2014-01-31,95.89
2014-02-03,94.31
2014-02-04,94.26
2014-02-05,94.17
2014-02-06,96.27
2014-02-07,97.41
2014-02-10,97.55
2014-02-11,99.57
2014-02-12,99.68
2014-02-13,100.25
2014-02-14,101.61
2014-02-18,100.82
2014-02-19,101.36
2014-02-20,101.33
2014-02-21,101.48
2014-02-24,103.15
2014-02-25,102.17
2014-02-26,103.75
2014-02-27,103.99
2014-02-28,104.61
2014-03-03,102.12
2014-03-04,103.76
2014-03-05,103.5
2014-03-06,104.51
2014-03-07,103.39
2014-03-10,103.27
2014-03-11,103.07
2014-03-12,102.16
2014-03-13,100.76
2014-03-14,99.8
2014-03-17,100.53
2014-03-18,101.9
2014-03-19,100.07
2014-03-20,100.53
2014-03-21,101.94
2014-03-24,101.5
2014-03-25,102.92
2014-03-26,103.07
2014-03-27,104.25
2014-03-28,105.81
2014-03-31,105.3
2014-04-01,106.59
2014-04-02,106.94
2014-04-03,107.07
2014-04-04,106.63
2014-04-07,105.7
2014-04-08,106.09
2014-04-09,107.57
2014-04-10,105.53
2014-04-11,105.6
2014-04-14,108.23
2014-04-15,108.23
2014-04-16,108.96
2014-04-17,109.2
2014-04-21,108.91
2014-04-22,109.72
2014-04-23,108.4
2014-04-24,109.14
2014-04-25,109.1
2014-04-28,110.19
2014-04-29,111.1
2014-04-30,105.82
2014-05-01,106.69
2014-05-02,106.26
2014-05-05,107.38
2014-05-06,106.46
2014-05-07,108.32
2014-05-08,109.21
2014-05-09,109.0
2014-05-12,109.97
2014-05-13,109.94
2014-05-14,109.14
2014-05-15,108.34
2014-05-16,110.85
2014-05-19,110.22
2014-05-20,110.21
2014-05-21,110.75
2014-05-22,110.5
2014-05-23,110.05
2014-05-27,110.97
2014-05-28,109.93
2014-05-29,110.03
2014-05-30,109.92
2014-06-02,109.65
2014-06-03,109.91
2014-06-04,110.15
